번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
77,제22대,김태호,국민의힘,보건복지위원회,경남 양산시을,남,4선,지역구
78,제22대,김한규,더불어민주당,"국회운영위원회, 법제사법위원회",제주 제주시을,남,재선,지역구
79,제22대,김현,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",경기 안산시을,여,재선,지역구
80,제22대,김현정,더불어민주당,정무위원회,경기 평택시병,남,초선,지역구
81,제22대,김형동,국민의힘,기후에너지환경노동위원회,경북 안동시예천군,남,재선,지역구
82,제22대,김희정,국민의힘,교육위원회,부산 연제구,여,3선,지역구
83,제22대,나경원,국민의힘,"기후에너지환경노동위원회, 예산결산특별위원회",서울 동작구을,여,5선,지역구
84,제22대,남인순,더불어민주당,"연금개혁 특별위원회, 보건복지위원회",서울 송파구병,여,4선,지역구
85,제22대,노종면,더불어민주당,문화체육관광위원회,인천 부평구갑,남,초선,지역구
86,제22대,맹성규,더불어민주당,외교통일위원회,인천 남동구갑,남,3선,지역구
87,제22대,모경종,더불어민주당,"연금개혁 특별위원회, 국토교통위원회",인천 서구병,남,초선,지역구
88,제22대,문금주,더불어민주당,"국회운영위원회, 농림축산식품해양수산위원회",전남광주통합특별시 고흥군보성군장흥군강진군,남,초선,지역구
89,제22대,문대림,더불어민주당,"농림축산식품해양수산위원회, 예산결산특별위원회",제주 제주시갑,남,초선,지역구
90,제22대,문정복,더불어민주당,국토교통위원회,경기 시흥시갑,여,재선,지역구
91,제22대,문진석,더불어민주당,재정경제기획위원회,충남 천안시갑,남,재선,지역구
92,제22대,민병덕,더불어민주당,정무위원회,경기 안양시동안구갑,남,재선,지역구
93,제22대,민홍철,더불어민주당,국방위원회,경남 김해시갑,남,4선,지역구
94,제22대,박균택,더불어민주당,"국회운영위원회, 법제사법위원회",전남광주통합특별시 광산구갑,남,초선,지역구
95,제22대,박대출,국민의힘,정무위원회,경남 진주시갑,남,4선,지역구
